Topics,Alpha,Beta,Coherence
30,0.01,0.01,0.2810387426441032
30,0.01,0.31,0.458277843918311
30,0.01,0.61,0.5154991302056022
30,0.01,0.9099999999999999,0.45517130381803667
30,0.01,symmetric,0.26978389605508524
30,0.31,0.01,0.2929796904073957
30,0.31,0.31,0.4443344561109614
30,0.31,0.61,0.5074770137212312
30,0.31,0.9099999999999999,0.5652460622713814
30,0.31,symmetric,0.2976307731299962
30,0.61,0.01,0.28486226088449074
30,0.61,0.31,0.5114505875081555
30,0.61,0.61,0.5184406061162976
30,0.61,0.9099999999999999,0.5960382813773301
30,0.61,symmetric,0.29985290375731355
30,0.9099999999999999,0.01,0.29826916233386874
30,0.9099999999999999,0.31,0.4237176240596154
30,0.9099999999999999,0.61,0.4337182189941037
30,0.9099999999999999,0.9099999999999999,0.5300405132508266
30,0.9099999999999999,symmetric,0.3055567111155816
30,symmetric,0.01,0.2847725224967436
30,symmetric,0.31,0.44549983903302637
30,symmetric,0.61,0.5007454378011014
30,symmetric,0.9099999999999999,0.45853601800262017
30,symmetric,symmetric,0.2792190674618167
30,asymmetric,0.01,0.26740047380404525
30,asymmetric,0.31,0.4228825206526538
30,asymmetric,0.61,0.4345435739982298
30,asymmetric,0.9099999999999999,0.44120900764074794
30,asymmetric,symmetric,0.2769574716242094
30,0.01,0.01,0.2750048284633516
30,0.01,0.31,0.49908328840612964
30,0.01,0.61,0.5271326300286189
30,0.01,0.9099999999999999,0.5371951366503183
30,0.01,symmetric,0.28323001416017884
30,0.31,0.01,0.2980254391775121
30,0.31,0.31,0.4392968667262328
30,0.31,0.61,0.5543104537239399
30,0.31,0.9099999999999999,0.5879127653687665
30,0.31,symmetric,0.30983326901605135
30,0.61,0.01,0.3154558297805495
30,0.61,0.31,0.4922139859174212
30,0.61,0.61,0.4495776796034674
30,0.61,0.9099999999999999,0.36680564096903656
30,0.61,symmetric,0.30510272279658596
30,0.9099999999999999,0.01,0.32529000650338885
30,0.9099999999999999,0.31,0.43431304051828495
30,0.9099999999999999,0.61,0.47123747560296503
30,0.9099999999999999,0.9099999999999999,0.39098130161427563
30,0.9099999999999999,symmetric,0.35129662631600633
30,symmetric,0.01,0.27397889651181095
30,symmetric,0.31,0.5037537252070489
30,symmetric,0.61,0.5287736164867011
30,symmetric,0.9099999999999999,0.5708838281157346
30,symmetric,symmetric,0.2827197678823567
30,asymmetric,0.01,0.27933247366640596
30,asymmetric,0.31,0.48227488348202896
30,asymmetric,0.61,0.5193010069716111
30,asymmetric,0.9099999999999999,0.5909271863003297
30,asymmetric,symmetric,0.27935045362805927
