Topics,Alpha,Beta,Coherence
10,0.01,0.01,0.250780654163647
10,0.01,0.31,0.34832880866629135
10,0.01,0.61,0.4197370846280939
10,0.01,0.9099999999999999,0.7177822291313875
10,0.01,symmetric,0.267688920102607
10,0.31,0.01,0.2564193239552768
10,0.31,0.31,0.33276668665426273
10,0.31,0.61,0.44694839004513076
10,0.31,0.9099999999999999,0.5876435495515759
10,0.31,symmetric,0.2542572858343725
10,0.61,0.01,0.2541867612147816
10,0.61,0.31,0.35600304998754145
10,0.61,0.61,0.45831270756117926
10,0.61,0.9099999999999999,0.5154086828527544
10,0.61,symmetric,0.24576264967566316
10,0.9099999999999999,0.01,0.25916103721556916
10,0.9099999999999999,0.31,0.44788646187195347
10,0.9099999999999999,0.61,0.5335967942818629
10,0.9099999999999999,0.9099999999999999,0.37810767488006647
10,0.9099999999999999,symmetric,0.2767036167454945
10,symmetric,0.01,0.26141675326205893
10,symmetric,0.31,0.3223381398704198
10,symmetric,0.61,0.42871119519138245
10,symmetric,0.9099999999999999,0.6159666596721991
10,symmetric,symmetric,0.2612249743581811
10,asymmetric,0.01,0.2544276221233598
10,asymmetric,0.31,0.3476982416061277
10,asymmetric,0.61,0.43165362401752694
10,asymmetric,0.9099999999999999,0.6697162370264468
10,asymmetric,symmetric,0.2462915322328998
15,0.01,0.01,0.23671309746963656
15,0.01,0.31,0.34462072492391016
15,0.01,0.61,0.48310578108342805
15,0.01,0.9099999999999999,0.5775671475051591
15,0.01,symmetric,0.24274233382930846
15,0.31,0.01,0.255934367490296
15,0.31,0.31,0.35921690432460285
15,0.31,0.61,0.5243667533714774
15,0.31,0.9099999999999999,0.5983290810700196
15,0.31,symmetric,0.24509842898364795
15,0.61,0.01,0.26893121222665417
15,0.61,0.31,0.4292497429508528
15,0.61,0.61,0.5787016682569383
15,0.61,0.9099999999999999,0.4617444965017607
15,0.61,symmetric,0.2610478384396542
15,0.9099999999999999,0.01,0.25438521834449696
15,0.9099999999999999,0.31,0.40867061394812654
15,0.9099999999999999,0.61,0.524296555078836
15,0.9099999999999999,0.9099999999999999,0.35162793307417756
15,0.9099999999999999,symmetric,0.2993283555255824
15,symmetric,0.01,0.24958192797933393
15,symmetric,0.31,0.4399362220986006
15,symmetric,0.61,0.45250675126242507
15,symmetric,0.9099999999999999,0.595083925961719
15,symmetric,symmetric,0.24725109345822036
15,asymmetric,0.01,0.24944602877162267
15,asymmetric,0.31,0.38800775975328466
15,asymmetric,0.61,0.44723730188446614
15,asymmetric,0.9099999999999999,0.5327599510905892
15,asymmetric,symmetric,0.2505268584978481
20,0.01,0.01,0.2697548917511797
20,0.01,0.31,0.4316030664600422
20,0.01,0.61,0.4944330531428031
20,0.01,0.9099999999999999,0.5897755005474162
20,0.01,symmetric,0.2671380762576824
20,0.31,0.01,0.2649905596527967
20,0.31,0.31,0.466893352843986
20,0.31,0.61,0.5461601446053557
20,0.31,0.9099999999999999,0.6173402822505764
20,0.31,symmetric,0.26557877901972965
20,0.61,0.01,0.2966918369855733
20,0.61,0.31,0.45610501124089975
20,0.61,0.61,0.5246331304129677
20,0.61,0.9099999999999999,0.33597776966346704
20,0.61,symmetric,0.29667871034366955
20,0.9099999999999999,0.01,0.29662230061416095
20,0.9099999999999999,0.31,0.5502967259979424
20,0.9099999999999999,0.61,0.4750503551324631
20,0.9099999999999999,0.9099999999999999,0.5191597301889564
20,0.9099999999999999,symmetric,0.2943681883886298
20,symmetric,0.01,0.2648135782040303
20,symmetric,0.31,0.4309274419501524
20,symmetric,0.61,0.5583573958389852
20,symmetric,0.9099999999999999,0.6190088817514161
20,symmetric,symmetric,0.27472016416620915
20,asymmetric,0.01,0.2760244790168566
20,asymmetric,0.31,0.4973405052360128
20,asymmetric,0.61,0.48818162912036794
20,asymmetric,0.9099999999999999,0.578821270550699
20,asymmetric,symmetric,0.26373792539679275
25,0.01,0.01,0.2789576561058201
25,0.01,0.31,0.47155735999447773
25,0.01,0.61,0.6177148160354042
25,0.01,0.9099999999999999,0.6623604622809632
25,0.01,symmetric,0.2714718948072975
25,0.31,0.01,0.27471348936480344
25,0.31,0.31,0.46928958803240695
25,0.31,0.61,0.5648105722818489
25,0.31,0.9099999999999999,0.5547777919958502
25,0.31,symmetric,0.26650562590757537
25,0.61,0.01,0.28657835809309307
25,0.61,0.31,0.5988206418197022
25,0.61,0.61,0.6116198759441068
25,0.61,0.9099999999999999,0.5954079425226209
25,0.61,symmetric,0.28361759478019627
25,0.9099999999999999,0.01,0.3020347478108646
25,0.9099999999999999,0.31,0.6034317412821897
25,0.9099999999999999,0.61,0.5774561739695322
25,0.9099999999999999,0.9099999999999999,0.5958746001718744
25,0.9099999999999999,symmetric,0.316813419716929
25,symmetric,0.01,0.2802930411040446
25,symmetric,0.31,0.4839588227090305
25,symmetric,0.61,0.562655537780321
25,symmetric,0.9099999999999999,0.6506383622814202
25,symmetric,symmetric,0.2682158216958258
25,asymmetric,0.01,0.2868881238880229
25,asymmetric,0.31,0.4700235832965274
25,asymmetric,0.61,0.6231622197092551
25,asymmetric,0.9099999999999999,0.6355600655183283
