,Topic,Word,P
0,0,anxiety,0.164969450101833
1,0,week,0.028513238289205704
2,0,advice,0.026476578411405296
3,0,health,0.02240325865580448
4,0,start,0.020366598778004074
5,0,short,0.018329938900203666
6,0,understand,0.016293279022403257
7,0,medication,0.016293279022403257
8,0,afraid,0.014256619144602852
9,0,therapy,0.014256619144602852
10,1,issue,0.056451612903225805
11,1,huge,0.03225806451612903
12,1,find,0.03225806451612903
13,1,gi,0.024193548387096774
14,1,trigger,0.024193548387096774
15,1,choking,0.024193548387096774
16,1,step,0.024193548387096774
17,1,amount,0.024193548387096774
18,1,small,0.024193548387096774
19,1,daily,0.024193548387096774
20,2,test,0.051587301587301584
21,2,heart,0.047619047619047616
22,2,pain,0.03968253968253968
23,2,chest,0.03571428571428571
24,2,blood,0.023809523809523808
25,2,arm,0.023809523809523808
26,2,normal,0.01984126984126984
27,2,random,0.01984126984126984
28,2,told,0.015873015873015872
29,2,sharp,0.015873015873015872
30,3,issue,0.043209876543209874
31,3,mask,0.037037037037037035
32,3,wear,0.030864197530864196
33,3,doctor,0.030864197530864196
34,3,gonna,0.024691358024691357
35,3,sound,0.024691358024691357
36,3,pandemic,0.018518518518518517
37,3,regular,0.018518518518518517
38,3,check,0.018518518518518517
39,3,joke,0.018518518518518517
40,4,class,0.0707070707070707
41,4,driver,0.04040404040404041
42,4,record,0.04040404040404041
43,4,bloodwork,0.04040404040404041
44,4,parent,0.04040404040404041
45,4,passed,0.030303030303030304
46,4,license,0.030303030303030304
47,4,taking,0.030303030303030304
48,4,period,0.020202020202020204
49,4,fund,0.020202020202020204
50,5,cancer,0.05571847507331378
51,5,doctor,0.04985337243401759
52,5,back,0.02932551319648094
53,5,health,0.026392961876832845
54,5,lung,0.02346041055718475
55,5,stomach,0.02346041055718475
56,5,scan,0.020527859237536656
57,5,woke,0.017595307917888565
58,5,headache,0.017595307917888565
59,5,pound,0.017595307917888565
60,6,pill,0.08695652173913043
61,6,withdrawal,0.07608695652173914
62,6,legal,0.05434782608695652
63,6,pay,0.03260869565217391
64,6,blind,0.021739130434782608
65,6,project,0.021739130434782608
66,6,stuff,0.021739130434782608
67,6,tolerate,0.021739130434782608
68,6,failed,0.021739130434782608
69,6,venture,0.021739130434782608
70,7,stress,0.05789473684210526
71,7,fear,0.031578947368421054
72,7,thought,0.02631578947368421
73,7,awareness,0.02631578947368421
74,7,emotion,0.02631578947368421
75,7,acceptance,0.021052631578947368
76,7,root,0.021052631578947368
77,7,rejection,0.015789473684210527
78,7,identify,0.015789473684210527
79,7,mechanism,0.015789473684210527
80,8,feel,0.07763401109057301
81,8,love,0.04805914972273567
82,8,guy,0.04251386321626617
83,8,mom,0.036968576709796676
84,8,end,0.027726432532347505
85,8,depression,0.025878003696857672
86,8,care,0.024029574861367836
87,8,good,0.024029574861367836
88,8,age,0.022181146025878003
89,8,dad,0.018484288354898338
90,9,amp,0.12716763005780346
91,9,brother,0.046242774566473986
92,9,back,0.04046242774566474
93,9,wa,0.03468208092485549
94,9,mum,0.028901734104046242
95,9,le,0.028901734104046242
96,9,crazy,0.017341040462427744
97,9,face,0.017341040462427744
98,9,crack,0.017341040462427744
99,9,lie,0.017341040462427744
100,10,boyfriend,0.06542056074766354
101,10,anxious,0.056074766355140186
102,10,dog,0.04672897196261682
103,10,kill,0.028037383177570093
104,10,older,0.028037383177570093
105,10,body,0.028037383177570093
106,10,wall,0.028037383177570093
107,10,idea,0.018691588785046728
108,10,paycheck,0.018691588785046728
109,10,dating,0.018691588785046728
110,11,career,0.044444444444444446
111,11,job,0.027777777777777776
112,11,overwhelmed,0.027777777777777776
113,11,id,0.027777777777777776
114,11,mentally,0.022222222222222223
115,11,closer,0.022222222222222223
116,11,emotionally,0.016666666666666666
117,11,quit,0.016666666666666666
118,11,single,0.016666666666666666
119,11,store,0.016666666666666666
120,12,point,0.048
121,12,meditation,0.04
122,12,anxiety,0.032
123,12,youre,0.032
124,12,fear,0.024
125,12,wander,0.024
126,12,emotional,0.024
127,12,bigger,0.016
128,12,correct,0.016
129,12,counting,0.016
130,13,scared,0.06439393939393939
131,13,situation,0.030303030303030304
132,13,wife,0.026515151515151516
133,13,bad,0.026515151515151516
134,13,important,0.022727272727272728
135,13,earlier,0.01893939393939394
136,13,trouble,0.01893939393939394
137,13,fear,0.01893939393939394
138,13,family,0.01893939393939394
139,13,cold,0.01893939393939394
140,14,depression,0.07317073170731707
141,14,love,0.04390243902439024
142,14,gf,0.03902439024390244
143,14,college,0.03902439024390244
144,14,stop,0.03414634146341464
145,14,summer,0.024390243902439025
146,14,group,0.01951219512195122
147,14,diagnosed,0.01951219512195122
148,14,major,0.01951219512195122
149,14,switch,0.01951219512195122
150,15,hate,0.0975609756097561
151,15,test,0.04878048780487805
152,15,future,0.04878048780487805
153,15,depressed,0.032520325203252036
154,15,fucking,0.032520325203252036
155,15,single,0.024390243902439025
156,15,dream,0.024390243902439025
157,15,fine,0.024390243902439025
158,15,goal,0.016260162601626018
159,15,close,0.016260162601626018
160,16,job,0.10513141426783479
161,16,life,0.060075093867334166
162,16,good,0.04380475594493116
163,16,working,0.03379224030037547
164,16,hard,0.026282853566958697
165,16,car,0.026282853566958697
166,16,talk,0.02002503128911139
167,16,spend,0.01877346683354193
168,16,girlfriend,0.016270337922403004
169,16,home,0.015018773466833541
170,17,animal,0.06504065040650407
171,17,cat,0.04065040650406504
172,17,human,0.04065040650406504
173,17,grandparent,0.032520325203252036
174,17,humanity,0.032520325203252036
175,17,tired,0.024390243902439025
176,17,hurt,0.024390243902439025
177,17,edgy,0.024390243902439025
178,17,joke,0.024390243902439025
179,17,cruelty,0.016260162601626018
180,18,voice,0.03937007874015748
181,18,social,0.031496062992125984
182,18,drug,0.031496062992125984
183,18,english,0.023622047244094488
184,18,similar,0.023622047244094488
185,18,party,0.023622047244094488
186,18,changing,0.023622047244094488
187,18,speaking,0.015748031496062992
188,18,volume,0.015748031496062992
189,18,prescription,0.015748031496062992
190,19,mom,0.08264462809917356
191,19,dad,0.045454545454545456
192,19,health,0.04132231404958678
193,19,realized,0.02066115702479339
194,19,fiance,0.01652892561983471
195,19,trust,0.01652892561983471
196,19,leave,0.01652892561983471
197,19,late,0.01652892561983471
198,19,stressed,0.01652892561983471
199,19,regularly,0.01652892561983471
200,20,school,0.1383399209486166
201,20,high,0.05928853754940711
202,20,girl,0.05138339920948617
203,20,semester,0.03162055335968379
204,20,bullied,0.02766798418972332
205,20,middle,0.023715415019762844
206,20,fucking,0.023715415019762844
207,20,ugly,0.011857707509881422
208,20,starting,0.011857707509881422
209,20,chance,0.011857707509881422
210,21,pain,0.044642857142857144
211,21,anxiety,0.033482142857142856
212,21,diet,0.03125
213,21,healthy,0.029017857142857144
214,21,left,0.026785714285714284
215,21,food,0.026785714285714284
216,21,eat,0.022321428571428572
217,21,chest,0.020089285714285716
218,21,face,0.015625
219,21,severe,0.015625
220,22,ray,0.03669724770642202
221,22,stomach,0.03669724770642202
222,22,death,0.03669724770642202
223,22,lump,0.03669724770642202
224,22,nervous,0.027522935779816515
225,22,triggered,0.027522935779816515
226,22,kind,0.027522935779816515
227,22,lipoma,0.027522935779816515
228,22,style,0.027522935779816515
229,22,cramp,0.01834862385321101
230,23,die,0.058823529411764705
231,23,continue,0.04411764705882353
232,23,height,0.04411764705882353
233,23,flood,0.04411764705882353
234,23,balloon,0.04411764705882353
235,23,hand,0.029411764705882353
236,23,pressure,0.029411764705882353
237,23,touched,0.029411764705882353
238,23,adrenaline,0.029411764705882353
239,23,spell,0.029411764705882353
240,24,level,0.061068702290076333
241,24,sister,0.04580152671755725
242,24,sport,0.04580152671755725
243,24,hated,0.03816793893129771
244,24,trauma,0.030534351145038167
245,24,cycle,0.022900763358778626
246,24,sabotaging,0.022900763358778626
247,24,check,0.015267175572519083
248,24,manages,0.015267175572519083
249,24,point,0.015267175572519083
250,25,raised,0.07317073170731707
251,25,neuropathy,0.04878048780487805
252,25,nephew,0.04878048780487805
253,25,youth,0.04878048780487805
254,25,post,0.04878048780487805
255,25,mess,0.024390243902439025
256,25,ahead,0.024390243902439025
257,25,highkey,0.024390243902439025
258,25,woman,0.024390243902439025
259,25,soothe,0.024390243902439025
260,26,afraid,0.04819277108433735
261,26,ruin,0.04819277108433735
262,26,idea,0.03614457831325301
263,26,simply,0.03614457831325301
264,26,law,0.024096385542168676
265,26,mistaken,0.024096385542168676
266,26,assisted,0.024096385542168676
267,26,cuz,0.024096385542168676
268,26,visited,0.012048192771084338
269,26,comeback,0.012048192771084338
270,27,friend,0.05012224938875306
271,27,started,0.042787286063569685
272,27,wanted,0.042787286063569685
273,27,told,0.04156479217603912
274,27,thing,0.039119804400977995
275,27,wa,0.03178484107579462
276,27,anymore,0.028117359413202935
277,27,person,0.028117359413202935
278,27,knew,0.023227383863080684
279,27,happy,0.022004889975550123
280,28,addicted,0.05333333333333334
281,28,fucking,0.04
282,28,pee,0.04
283,28,exact,0.02666666666666667
284,28,bpd,0.02666666666666667
285,28,lying,0.02666666666666667
286,28,rehab,0.02666666666666667
287,28,shower,0.02666666666666667
288,28,expert,0.02666666666666667
289,28,eternity,0.02666666666666667
290,29,heart,0.06756756756756757
291,29,rate,0.060810810810810814
292,29,single,0.04054054054054054
293,29,laying,0.04054054054054054
294,29,tachycardia,0.033783783783783786
295,29,common,0.02702702702702703
296,29,watching,0.02027027027027027
297,29,upright,0.02027027027027027
298,29,happening,0.02027027027027027
299,29,hey,0.02027027027027027
300,30,talk,0.1134020618556701
301,30,romantic,0.030927835051546393
302,30,advantage,0.020618556701030927
303,30,creep,0.020618556701030927
304,30,proper,0.020618556701030927
305,30,response,0.020618556701030927
306,30,rest,0.020618556701030927
307,30,harder,0.020618556701030927
308,30,identity,0.010309278350515464
309,30,woke,0.010309278350515464
310,31,life,0.06547208821502412
311,31,year,0.05099931082012405
312,31,people,0.04893177119228118
313,31,family,0.03997243280496209
314,31,friend,0.03859407305306685
315,31,living,0.022742935906271536
316,31,make,0.021364576154376293
317,31,money,0.02067539627842867
318,31,live,0.01791867677463818
