`topic,word,prob
0,scared,0.042682927
0,society,0.036585366
0,trouble,0.030487805
0,basic,0.024390244
0,memory,0.024390244
0,word,0.018292683
0,stupid,0.018292683
0,level,0.018292683
0,seizure,0.018292683
0,making,0.018292683
1,fatigue,0.024752475
1,job,0.024752475
1,debt,0.024752475
1,credit,0.024752475
1,card,0.01980198
1,messed,0.01980198
1,situation,0.01980198
1,physical,0.01980198
1,frozen,0.01980198
1,awful,0.014851485
2,im,0.218221896
2,ive,0.092578986
2,dont,0.092578986
2,didnt,0.024981631
2,depression,0.019838354
2,life,0.016899339
2,therapist,0.015429831
2,couldnt,0.014695077
2,ill,0.010286554
2,havent,0.010286554
3,taking,0.035928144
3,dosage,0.035928144
3,party,0.02994012
3,mood,0.023952096
3,increase,0.017964072
3,assignment,0.017964072
3,sertraline,0.017964072
3,lower,0.017964072
3,drinking,0.017964072
3,missing,0.017964072
4,worthy,0.042857143
4,mess,0.042857143
4,neuropathy,0.028571429
4,ashamed,0.028571429
4,mediocre,0.028571429
4,honestly,0.028571429
4,manager,0.028571429
4,hypersocial,0.014285714
4,information,0.014285714
4,literature,0.014285714
5,feel,0.06
5,people,0.037647059
5,anxious,0.032941176
5,time,0.032941176
5,anxiety,0.028235294
5,lot,0.025882353
5,thing,0.02
5,understand,0.02
5,talk,0.018823529
5,feeling,0.018823529
6,left,0.047619048
6,inside,0.042328042
6,face,0.031746032
6,improved,0.026455026
6,teeth,0.021164021
6,april,0.021164021
6,experienced,0.021164021
6,alright,0.015873016
6,disorder,0.015873016
6,visual,0.015873016
7,wa,0.096307772
7,time,0.0348567
7,day,0.031758327
7,year,0.025045185
7,work,0.024786987
7,month,0.021946811
7,back,0.021172218
7,feel,0.020139427
7,thought,0.016008262
7,ago,0.015750065
8,drinking,0.042682927
8,drink,0.036585366
8,alcohol,0.036585366
8,minute,0.030487805
8,die,0.024390244
8,turkey,0.024390244
8,sober,0.024390244
8,balloon,0.018292683
8,hangover,0.018292683
8,flood,0.018292683
9,told,0.095238095
9,shower,0.035714286
9,pee,0.035714286
9,addicted,0.035714286
9,fucking,0.035714286
9,appointment,0.035714286
9,drug,0.035714286
9,rehab,0.023809524
9,lying,0.023809524
9,bpd,0.023809524
10,style,0.055555556
10,triggered,0.055555556
10,kind,0.037037037
10,unpleasant,0.037037037
10,falling,0.037037037
10,israel,0.037037037
10,jewish,0.037037037
10,dramatically,0.018518519
10,borderline,0.018518519
10,kinda,0.018518519
11,girlfriend,0.042105263
11,sister,0.042105263
11,sabotaging,0.031578947
11,divorced,0.031578947
11,cycle,0.031578947
11,hated,0.021052632
11,jump,0.021052632
11,present,0.021052632
11,stayed,0.021052632
11,loving,0.021052632
12,amp,0.101321586
12,back,0.039647577
12,brother,0.035242291
12,le,0.030837004
12,fuck,0.022026432
12,mum,0.022026432
12,lie,0.017621145
12,older,0.017621145
12,drug,0.017621145
12,shit,0.017621145
13,idea,0.065359477
13,anxiety,0.058823529
13,afraid,0.039215686
13,boyfriend,0.039215686
13,public,0.032679739
13,opinion,0.019607843
13,generally,0.019607843
13,shot,0.019607843
13,mind,0.019607843
13,decided,0.019607843
14,youre,0.033898305
14,meditation,0.033898305
14,emotional,0.033898305
14,wander,0.025423729
14,shot,0.016949153
14,bigger,0.016949153
14,counting,0.016949153
14,solution,0.016949153
14,living,0.016949153
14,straight,0.016949153
15,animal,0.06
15,cat,0.033333333
15,human,0.033333333
15,parent,0.026666667
15,grandparent,0.026666667
15,humanity,0.026666667
15,hurt,0.02
15,edgy,0.02
15,joke,0.02
15,treat,0.013333333
16,simply,0.043478261
16,woman,0.043478261
16,voice,0.032608696
16,changing,0.032608696
16,social,0.027173913
16,hopeless,0.02173913
16,ruin,0.02173913
16,desperately,0.016304348
16,noticed,0.016304348
16,height,0.016304348
17,cancer,0.068825911
17,doctor,0.056680162
17,lung,0.036437247
17,ct,0.020242915
17,woke,0.020242915
17,scan,0.020242915
17,urgent,0.020242915
17,friday,0.016194332
17,care,0.016194332
17,weight,0.016194332
18,worthless,0.032258065
18,happy,0.025806452
18,escape,0.025806452
18,shit,0.025806452
18,angry,0.019354839
18,fight,0.019354839
18,decent,0.019354839
18,confidence,0.019354839
18,fucking,0.019354839
18,wear,0.019354839
19,drug,0.055555556
19,reading,0.048611111
19,story,0.048611111
19,girl,0.034722222
19,short,0.027777778
19,apartment,0.020833333
19,exercise,0.013888889
19,vent,0.013888889
19,creep,0.013888889
19,free,0.013888889
20,class,0.063063063
20,bloodwork,0.036036036
20,record,0.036036036
20,driver,0.036036036
20,dose,0.027027027
20,license,0.027027027
20,car,0.027027027
20,honestly,0.018018018
20,higher,0.018018018
20,visit,0.018018018
21,pill,0.052173913
21,legal,0.043478261
21,smoking,0.034782609
21,crazy,0.026086957
21,barely,0.026086957
21,sharing,0.026086957
21,pay,0.026086957
21,duty,0.017391304
21,failed,0.017391304
21,venture,0.017391304
22,worker,0.040540541
22,trick,0.040540541
22,uncomfortable,0.040540541
22,verry,0.040540541
22,tip,0.040540541
22,current,0.027027027
22,fit,0.027027027
22,eachother,0.027027027
22,field,0.027027027
22,grow,0.027027027
23,school,0.093922652
23,hate,0.05801105
23,high,0.055248619
23,girl,0.044198895
23,fucking,0.022099448
23,gonna,0.022099448
23,semester,0.019337017
23,bullied,0.016574586
23,parent,0.016574586
23,fine,0.016574586
24,mg,0.117136659
24,anxiety,0.054229935
24,med,0.034707158
24,month,0.034707158
24,prozac,0.023861171
24,zoloft,0.023861171
24,lexapro,0.021691974
24,medication,0.019522777
24,effect,0.019522777
24,fight,0.015184382
25,meet,0.031578947
25,shes,0.031578947
25,therapy,0.021052632
25,weve,0.021052632
25,future,0.021052632
25,expect,0.021052632
25,school,0.021052632
25,contact,0.015789474
25,uni,0.015789474
25,drop,0.015789474
26,scared,0.048780488
26,death,0.048780488
26,almond,0.03902439
26,stomach,0.03902439
26,die,0.029268293
26,cry,0.029268293
26,ache,0.024390244
26,ray,0.019512195
26,lump,0.019512195
26,bad,0.019512195
27,talked,0.034285714
27,lonely,0.028571429
27,bf,0.022857143
27,boyfriend,0.022857143
27,wrong,0.022857143
27,treat,0.022857143
27,tear,0.022857143
27,response,0.022857143
27,brought,0.017142857
27,regret,0.017142857
28,withdrawal,0.064102564
28,severe,0.051282051
28,depression,0.051282051
28,addiction,0.038461538
28,alcohol,0.025641026
28,hell,0.019230769
28,medicated,0.019230769
28,benzo,0.019230769
28,substance,0.012820513
28,tolerate,0.012820513
29,issue,0.04137931
29,mask,0.04137931
29,fiance,0.027586207
29,regular,0.027586207
29,gonna,0.027586207
29,manager,0.020689655
29,brain,0.020689655
29,degree,0.013793103
29,check,0.013793103
29,dearly,0.013793103
30,stress,0.036866359
30,fear,0.01843318
30,root,0.01843318
30,acceptance,0.01843318
30,emotion,0.01843318
30,awareness,0.01843318
30,symptom,0.013824885
30,brain,0.013824885
30,level,0.013824885
30,rejection,0.013824885
31,life,0.044689495
31,year,0.032791642
31,friend,0.032501451
31,feel,0.026407429
31,make,0.021183981
31,job,0.02089379
31,people,0.020603598
31,good,0.019733024
31,time,0.018572258
31,wa,0.0171213
32,heart,0.101190476
32,rate,0.047619048
32,tachycardia,0.029761905
32,apparently,0.023809524
32,average,0.023809524
32,upright,0.017857143
32,weather,0.017857143
32,dealing,0.017857143
32,checking,0.017857143
32,fucking,0.017857143
33,job,0.098484848
33,id,0.053030303
33,moved,0.037878788
33,company,0.03030303
33,grocery,0.022727273
33,unhappy,0.022727273
33,high,0.022727273
33,store,0.022727273
33,broken,0.015151515
33,laughed,0.015151515
34,gf,0.041666667
34,summer,0.023148148
34,dec,0.023148148
34,major,0.023148148
34,mindset,0.018518519
34,class,0.018518519
34,studying,0.018518519
34,environment,0.018518519
34,weekend,0.013888889
34,grade,0.013888889
35,dropped,0.029411765
35,employed,0.029411765
35,anxiety,0.019607843
35,smart,0.019607843
35,paycheck,0.019607843
35,gun,0.019607843
35,workforce,0.019607843
35,wellbutrin,0.019607843
35,menial,0.019607843
35,learn,0.019607843
36,bathroom,0.042105263
36,heart,0.042105263
36,vomit,0.031578947
36,middle,0.021052632
36,pounding,0.021052632
36,difference,0.021052632
36,nauseous,0.021052632
36,church,0.021052632
36,sat,0.021052632
36,grandmother,0.021052632
37,forward,0.085106383
37,growing,0.063829787
37,afraid,0.063829787
37,debilitating,0.042553191
37,separation,0.021276596
37,swerving,0.021276596
37,ankle,0.021276596
37,religion,0.021276596
37,academically,0.021276596
37,romantically,0.021276596
38,issue,0.068965517
38,daily,0.034482759
38,gi,0.025862069
38,bp,0.025862069
38,huge,0.025862069
38,acid,0.017241379
38,due,0.017241379
38,life,0.017241379
38,fear,0.017241379
38,faith,0.017241379
39,mom,0.05862069
39,dad,0.037931034
39,family,0.027586207
39,stressed,0.017241379
39,telling,0.017241379
39,regularly,0.013793103
39,door,0.013793103
39,drinking,0.013793103
39,sleeping,0.013793103
39,hated,0.013793103
40,anxiety,0.09556314
40,panic,0.073947668
40,attack,0.064846416
40,sleep,0.027303754
40,night,0.026166098
40,day,0.023890785
40,symptom,0.023890785
40,week,0.017064846
40,feel,0.01592719
40,blood,0.014789534
41,stuff,0.096774194
41,alot,0.032258065
41,eye,0.032258065
41,shopping,0.024193548
41,tomorrow,0.024193548
41,stealing,0.024193548
41,gross,0.016129032
41,slave,0.016129032
41,basic,0.016129032
41,return,0.016129032
42,pain,0.071672355
42,chest,0.042662116
42,heart,0.029010239
42,test,0.029010239
42,lot,0.023890785
42,food,0.020477816
42,diet,0.020477816
42,healthy,0.018771331
42,eat,0.017064846
42,anxiety,0.015358362
43,guy,0.062893082
43,sport,0.037735849
43,woman,0.037735849
43,playing,0.025157233
43,age,0.025157233
43,young,0.018867925
43,team,0.018867925
43,interest,0.018867925
43,baseball,0.012578616
43,ghosted,0.012578616
44,business,0.043478261
44,niece,0.028985507
44,reasonable,0.028985507
44,helped,0.028985507
44,nephew,0.028985507
44,ons,0.014492754
44,mycar,0.014492754
44,leap,0.014492754
44,intimidating,0.014492754
44,realization,0.014492754
